name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical;is_arcade;use_chds;savestate;source_file;first_emulator;first_emulator_date;last_emulator;last_emulator_date;players;buttons;coins;sound_channels;screens;display_type;display_rotate;screen_orientation;display_width;display_height;display_refresh;input_controls;monitor_type;chips_cpu;chips_cpu_details;chips_audio;chips_audio_details;driver_status;driver_emulation;driver_color;driver_sound;driver_graphic;driver_cocktail;driver_protection;dump_status;device_types;category;genre;serie;language;colors;has_device_refs;has_roms;has_disks;has_dip_switches;has_bios_sets;has_configs;has_ports;has_devices;has_slots;has_adjusters;has_soft_lists;has_ram_opts;has_cheats;nplayers;url_playonline;url_shortplays;url_shortplay_ms;game_rate;mature;on_top_score;on_bacheca_record;on_arcaworld;ranking;bestgame;alltime;cabinets;freeplay;short_title;
"glpracr2";"Gallop Racer 2 (Export)";"1997";Tecmo;YES;"coh1002m";NO;-;-;YES;NO;NO;"coh1002m";NO;YES;NO;NO;sony/zn.cpp;"Mame 0.74u2";"2003-10-06";"Mame 0.254";"2023-04-27";4;3;4;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Sony CXD8530CQ";"maincpu Sony CXD8530CQ @67.7376 MHz";"Speaker,PlayStation SPU";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;NODUMP;-;"Sports / Horse Racing";Sports;"Gallop Racer";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=ezIM74jmYdo";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gallop Racer 2";
"glpracr3";"Gallop Racer 3 (Export)";"1999";Tecmo;YES;"coh1002m";NO;-;-;YES;NO;NO;"coh1002m";NO;YES;NO;NO;sony/zn.cpp;"Mame 0.88";"2004-10-24";"Mame 0.254";"2023-04-27";4;3;4;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Sony CXD8530CQ";"maincpu Sony CXD8530CQ @67.7376 MHz";"Speaker,PlayStation SPU";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @33.8688 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;NODUMP;-;"Sports / Horse Racing";Sports;"Gallop Racer";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=gJK5z8LQV2E";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gallop Racer 3";
galmedes;"Galmedes (Japan)";"1992";Visco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;taito/asuka.cpp;"Mame 0.37b9 (0.45)";"2000-11-06";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @8 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,YM2151 OPM,OKI MSM5205 ADPCM";"mono Speaker, ymsnd YM2151 OPM @4 MHz, msm OKI MSM5205 ADPCM @0.384 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=GCFb6s6XiD4";-;0;NO;NO;NO;NO;Japanese;"50 to 60 (Not Good Enough)";-;-;NO;Galmedes;
galsnew;"Gals Panic (Export, EXPRO-02 PCB)";"1990";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko/expro02.cpp";"Mame 0.117u1";"2007-07-18";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"90";VERTICAL;256;224;60.000000;"joystick (4-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @12 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki OKI MSM6295 ADPCM @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=cSv5VRJ-Czg";-;0;YES;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gals Panic";
galpanic;"Gals Panic (unprotected, ver. 2.0)";"1990";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;kaneko/galpanic.cpp;"Mame 0.35b2";"1999-01-24";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"90";VERTICAL;256;224;60.000000;"joystick (4-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @12 MHz";"Speaker,OKI MSM6295 ADPCM";"mono Speaker, oki OKI MSM6295 ADPCM @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=VpBUy1S26Bs";-;0;YES;NO;YES;NO;English;"70 to 80 (Good)";-;-;NO;"Gals Panic";
"galpani3";"Gals Panic 3 (Euro)";"1995";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko/galpani3.cpp";"Mame 0.84";"2004-07-02";"Mame 0.254";"2023-04-27";2;1;2;1;1;RASTER;"90";VERTICAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @14.318181 MHz";"Speaker,Yamaha YMZ280B PCMD8";"mono Speaker, ymz Yamaha YMZ280B PCMD8 @16.6665 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;PRELIMINARY;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;YES;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gals Panic 3";
"galpani4";"Gals Panic 4 (Europe)";"1996";Kaneko;YES;skns;NO;-;-;YES;NO;NO;skns;NO;YES;NO;NO;kaneko/suprnova.cpp;"Mame 0.62";"2002-11-12";"Mame 0.254";"2023-04-27";2;2;2;2;1;RASTER;"0";HORIZONTAL;320;240;59.597100;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @28.636 MHz";"Speaker,Yamaha YMZ280B PCMD8";"lspeaker Speaker, rspeaker Speaker, ymz Yamaha YMZ280B PCMD8 @16.666666 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=cLQHLZAiXpc";-;0;YES;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gals Panic 4";
"gp2quiz";"Gals Panic II - Quiz Version";"1993";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko/galpani2.cpp";"Mame 0.111u3";"2007-01-10";"Mame 0.254";"2023-04-27";2;3;2;2;1;RASTER;"90";VERTICAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @13.5 MHz, sub Motorola MC68000 @13.5 MHz";"Speaker,OKI MSM6295 ADPCM";"lspeaker Speaker, rspeaker Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;IMPERFECT;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;YES;NO;NO;NO;English;-;-;-;NO;"Gals Panic II - Quiz Version";
"galpani2";"Gals Panic II (Asia)";"1993";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko/galpani2.cpp";"Mame 0.74u2";"2003-10-06";"Mame 0.254";"2023-04-27";2;3;2;2;1;RASTER;"90";VERTICAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @13.5 MHz, sub Motorola MC68000 @13.5 MHz";"Speaker,OKI MSM6295 ADPCM";"lspeaker Speaker, rspeaker Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;IMPERFECT;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=VOY43uRZcPE";-;0;YES;NO;NO;NO;English;-;-;-;NO;"Gals Panic II";
"gp2se";"Gals Panic II' - Special Edition (Japan)";"1994";Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"kaneko/galpani2.cpp";"Mame 0.111u3";"2007-01-10";"Mame 0.254";"2023-04-27";2;3;2;2;1;RASTER;"90";VERTICAL;320;240;60.000000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000";"maincpu Motorola MC68000 @13.5 MHz, sub Motorola MC68000 @13.5 MHz";"Speaker,OKI MSM6295 ADPCM";"lspeaker Speaker, rspeaker Speaker, oki1 OKI MSM6295 ADPCM @2 MHz, oki2 OKI MSM6295 ADPCM @2 MHz";PRELIMINARY;PRELIMINARY;GOOD;GOOD;GOOD;GOOD;IMPERFECT;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;YES;NO;NO;NO;Japanese;-;-;-;NO;"Gals Panic II' - Special Edition";
galpanis;"Gals Panic S - Extra Edition (Europe, revision 1)";"1997";Kaneko;YES;skns;NO;-;-;YES;NO;NO;skns;NO;YES;NO;NO;kaneko/suprnova.cpp;"Mame 0.62";"2002-11-12";"Mame 0.254";"2023-04-27";2;1;2;2;1;RASTER;"0";HORIZONTAL;320;240;59.597100;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @28.636 MHz";"Speaker,Yamaha YMZ280B PCMD8";"lspeaker Speaker, rspeaker Speaker, ymz Yamaha YMZ280B PCMD8 @16.666666 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;YES;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gals Panic S - Extra Edition";
"galpans2";"Gals Panic S2 (Europe)";"1999";Kaneko;YES;skns;NO;-;-;YES;NO;NO;skns;NO;YES;NO;NO;kaneko/suprnova.cpp;"Mame 0.62";"2002-11-12";"Mame 0.254";"2023-04-27";2;1;2;2;1;RASTER;"0";HORIZONTAL;320;240;59.597100;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @28.636 MHz";"Speaker,Yamaha YMZ280B PCMD8";"lspeaker Speaker, rspeaker Speaker, ymz Yamaha YMZ280B PCMD8 @16.666666 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";English;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;-;-;0;YES;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Gals Panic S2";
"galpans3";"Gals Panic S3 (Japan)";"2002";Kaneko;YES;skns;NO;-;-;YES;NO;NO;skns;NO;YES;NO;NO;kaneko/suprnova.cpp;"Mame 0.129u5";"2009-02-26";"Mame 0.254";"2023-04-27";2;1;2;2;1;RASTER;"0";HORIZONTAL;320;240;59.597100;"joystick (8-way)";"CRT 15kHz";"Hitachi SH-2";"maincpu Hitachi SH-2 @28.636 MHz";"Speaker,Yamaha YMZ280B PCMD8";"lspeaker Speaker, rspeaker Speaker, ymz Yamaha YMZ280B PCMD8 @16.666666 MHz";IMPERFECT;GOOD;GOOD;GOOD;IMPERFECT;GOOD;GOOD;GOOD;-;"Puzzle / Outline";Puzzle;"Gals Panic";Japanese;-;YES;YES;NO;YES;YES;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=MPN5VUIQagg";-;0;YES;NO;NO;NO;Japanese;"70 to 80 (Good)";-;-;NO;"Gals Panic S3";
galspnbl;"Gals Pinball";"1996";Comad;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;comad/galspnbl.cpp;"Mame 0.37b6 (0.42)";"2000-08-20";"Mame 0.254";"2023-04-27";1;4;2;1;1;RASTER;"90";VERTICAL;512;224;60.000000;only_buttons;"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @11.592 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,YM3812 OPL2,OKI MSM6295 ADPCM";"mono Speaker, ymsnd YM3812 OPL2 @4 MHz, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Arcade / Pinball";Arcade;"Hot * Pinball";English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;-;-;0;YES;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"Gals Pinball";
gammagic;"Game Magic";"1999";"Bally Gaming Co.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;misc/gammagic.cpp;"Mame 0.147u1";"2012-10-08";"Mame 0.254";"2023-04-27";1;103;0;0;1;RASTER;"0";HORIZONTAL;640;480;53.178707;keyboard;"CRT 31kHz";"Intel Pentium,AM9517A";"maincpu Intel Pentium @133 MHz, dma8237_1 AM9517A @4.772727 MHz, dma8237_2 AM9517A @4.772727 MHz";-;-;PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;GOOD;GOOD;GOOD;NODUMP;-;"MultiGame / Compilation";MultiGame;-;English;-;YES;YES;YES;NO;NO;NO;YES;NO;NO;NO;NO;NO;YES;???;-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;"Game Magic";
gamecstl;GameCristal;"2002";Cristaltec;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;YES;NO;"pc/sis630.cpp";"Mame 0.120u1";"2007-10-24";"Mame 0.254";"2023-04-27";1;108;0;1;1;RASTER;"0";HORIZONTAL;640;480;53.178707;"mouse,keyboard";"CRT 31kHz";"Intel Pentium III,AM9517A,Intel 8051,Intel 8042AH";"maincpu Intel Pentium III @100 MHz, pci:01.0:dmac_master AM9517A @4.772727 MHz, pci:01.0:dmac_slave AM9517A @4.772727 MHz, pci:01.0:ps2_con:ms_naturl:ms_natrl_cpu Intel 8051 @6 MHz, pci:01.0:keybc:mcu Intel 8042AH @8.25 MHz";"CD/DA,Speaker,Filtered DAC";"pci:00.1:ide2:0:cdrom:cdda CD/DA @0.441 MHz, pci:01.0:mono Speaker, pci:01.0:speaker Filtered DAC";PRELIMINARY;PRELIMINARY;GOOD;PRELIMINARY;IMPERFECT;GOOD;GOOD;BADDUMP;"harddisk,cdrom";"MultiGame / Compilation";MultiGame;-;English;-;YES;YES;YES;NO;NO;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;GameCristal;
usgames;"Games V25.4X";"1992";"U.S. Games, Inc.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;misc/usgames.cpp;"Mame 0.148u3";"2013-04-09";"Mame 0.254";"2023-04-27";1;7;1;1;1;RASTER;"0";HORIZONTAL;400;248;60.000000;only_buttons;"CRT 15kHz";"Motorola MC6809";"maincpu Motorola MC6809 @6 MHz";"Speaker,AY-3-8912A PSG";"mono Speaker, aysnd AY-3-8912A PSG @3 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Multiplay / Mini-Games";Multiplay;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"4P alt";-;"https://www.youtube.com/watch?v=lXECSg7lX2M";-;0;YES;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;-;NO;"Games V25.4X";
gamshara;"Gamshara (World, 20020912A / 10021 Ver.A)";"2002";Mitchell;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;NO;"namco/namcos10.cpp";"Mame 0.104u5";"2006-03-02";"Mame 0.254";"2023-04-27";2;3;2;2;1;RASTER;"0";HORIZONTAL;640;480;60.000000;"joystick (8-way)";"CRT 31kHz";"Sony CXD8606BQ";"maincpu Sony CXD8606BQ @101.4912 MHz";"Speaker,PlayStation SPU,CD/DA";"lspeaker Speaker, rspeaker Speaker, spu PlayStation SPU @50.7456 MHz, ata:0:cdrom:cdda CD/DA @0.441 MHz";PRELIMINARY;PRELIMINARY;GOOD;IMPERFECT;IMPERFECT;GOOD;IMPERFECT;BADDUMP;cdrom;"Shooter / 3rd Person";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;YES;NO;NO;NO;NO;YES;???;-;-;-;0;NO;NO;NO;NO;English;-;-;-;NO;Gamshara;
ginkun;"Ganbare Ginkun";"1995";Tecmo;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"tecmo/tecmo16.cpp";"Mame 0.37b5 (0.41)";"2000-07-27";"Mame 0.254";"2023-04-27";2;2;2;2;1;RASTER;"0";HORIZONTAL;256;224;59.170000;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz";"Speaker,YM2151 OPM,OKI MSM6295 ADPCM";"lspeaker Speaker, rspeaker Speaker, ymsnd YM2151 OPM @4 MHz, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Multiplay / Mini-Games";Multiplay;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=355l4Mr8MWs";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";-;-;NO;"Ganbare Ginkun";
ganjaja;"Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump";"1990";Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;jaleco/homerun.cpp;"Mame 0.147";"2012-09-17";"Mame 0.254";"2023-04-27";1;0;2;1;1;RASTER;"0";HORIZONTAL;256;240;60.252579;"joystick (8-way)";"CRT 15kHz";"Zilog Z80";"maincpu Zilog Z80 @5 MHz";"Speaker,YM2203 OPN,NEC uPD7756";"mono Speaker, ymsnd YM2203 OPN @2.5 MHz, d7756 NEC uPD7756 @0.64 MHz";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;GOOD;-;"Fighter / Versus";Fighter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=GfxUU7Z7tqo";-;0;NO;NO;NO;NO;English;"40 to 50 (Decent)";-;-;NO;"Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump";
ganbare;"Ganbare! Marine Kun (Japan 2K0411)";"2000";Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"capcom/cps1.cpp";"Mame 0.147u4";"2012-12-17";"Mame 0.254";"2023-04-27";1;2;2;1;1;RASTER;"0";HORIZONTAL;384;224;59.637405;"joystick (2-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @10 MHz, audiocpu Zilog Z80 @3.579545 MHz";"Speaker,YM2151 OPM,OKI MSM6295 ADPCM";"mono Speaker, 2151 YM2151 OPM @3.579545 MHz, oki OKI MSM6295 ADPCM @1 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / 3rd Person";Shooter;-;Japanese;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"1P";-;"https://www.youtube.com/watch?v=XUQqREGvIYo";-;0;NO;NO;NO;NO;Japanese;"70 to 80 (Good)";-;-;NO;"Ganbare! Marine Kun";
gbusters;"Gang Busters (set 1)";"1988";Konami;YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;konami/thunderx.cpp;"Mame 0.36b5";"1999-09-18";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"90";VERTICAL;320;224;59.170000;"joystick (8-way)";"CRT 15kHz";"KONAMI CPU,Zilog Z80";"maincpu KONAMI CPU @12 MHz, audiocpu Zilog Z80 @3.579545 MHz";"Speaker,YM2151 OPM,K007232 PCM Controller";"mono Speaker, ymsnd YM2151 OPM @3.579545 MHz, k007232 K007232 PCM Controller @3.579545 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;-;"Shooter / Walking";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=aDsWFUNM37o";-;0;NO;NO;NO;NO;English;"70 to 80 (Good)";"1988";-;NO;"Gang Busters";
gangwars;"Gang Wars";"1989";"Alpha Denshi Co.";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"alpha/alpha68k.cpp";"Mame 0.36b1";"1999-07-19";"Mame 0.254";"2023-04-27";2;3;2;1;1;RASTER;"0";HORIZONTAL;256;224;59.185606;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @10 MHz, audiocpu Zilog Z80 @6 MHz";"Speaker,YM2203 OPN,YM2413 OPLL,8-Bit R-2R DAC";"speaker Speaker, ym1 YM2203 OPN @3 MHz, ym2 YM2413 OPLL @3.579545 MHz, dac 8-Bit R-2R DAC";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;NODUMP;-;"Fighter / 2.5D";Fighter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P sim";https://archive.org/details/arcade_gangwars;"https://www.youtube.com/watch?v=25ADWZExgIc";-;0;NO;NO;NO;YES;English;"70 to 80 (Good)";-;-;NO;"Gang Wars";
ganryu;"Ganryu / Musashi Ganryuki";"1999";Visco;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo/neogeo.cpp;"Mame 0.56";"2001-11-01";"Mame 0.254";"2023-04-27";2;4;2;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz";"YM2610 OPNB,Speaker";"ymsnd YM2610 OPNB @8 MHz, lspeaker Speaker, rspeaker Speaker";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;"memcard,cartridge";"Platform / Fighter Scrolling";Platform;-;English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=qlfbQH284t4";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";-;"29049;29050";YES;"Ganryu / Musashi Ganryuki";
gaplus;"Gaplus (GP2 rev. B)";"1984";Namco;YES;-;NO;-;gaplus;YES;NO;NO;-;NO;YES;NO;YES;namco/gaplus.cpp;"Mame 0.35b9";"1999-03-30";"Mame 0.254";"2023-04-27";2;1;2;1;1;RASTER;"90";VERTICAL;288;224;60.606060;"joystick (8-way)";"CRT 15kHz";"Motorola MC6809E,Fujitsu MB8843";"maincpu Motorola MC6809E @1.536 MHz, sub Motorola MC6809E @1.536 MHz, sub2 Motorola MC6809E @1.536 MHz, 62xx:mcu Fujitsu MB8843 @2.48 MHz";"Speaker,Namco 15xx,Samples";"mono Speaker, namco Namco 15xx @0.24 MHz, samples Samples";IMPERFECT;GOOD;GOOD;IMPERFECT;IMPERFECT;GOOD;GOOD;GOOD;-;"Shooter / Gallery";Shooter;Galaxian;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=uDBZz3O2HwU";-;0;NO;NO;NO;NO;English;"90 to 100 (Best Games)";"1984";"29043;29031";NO;Gaplus;
gardia;"Gardia (317-0006)";"1986";"Coreland / Sega";YES;-;NO;-;-;YES;NO;NO;-;NO;YES;NO;YES;"sega/system1.cpp";"Mame 0.34b3";"1998-09-17";"Mame 0.254";"2023-04-27";2;2;2;1;1;RASTER;"270";VERTICAL;512;224;60.096154;"joystick (8-way)";"CRT 15kHz";"Sega 317-0006,Zilog Z80";"maincpu Sega 317-0006 @20 MHz, soundcpu Zilog Z80 @4 MHz";"Speaker,SN76489A";"mono Speaker, sn1 SN76489A @2 MHz, sn2 SN76489A @2 MHz";GOOD;GOOD;GOOD;GOOD;GOOD;PRELIMINARY;GOOD;GOOD;-;"Shooter / Flying Vertical";Shooter;-;English;-;YES;YES;NO;YES;NO;NO;YES;NO;NO;NO;NO;NO;YES;"2P alt";-;"https://www.youtube.com/watch?v=NOq-N9KdGQo";-;0;NO;NO;NO;NO;English;"50 to 60 (Not Good Enough)";"1986";"29043;29031";NO;Gardia;
garou;"Garou - Mark of the Wolves (NGM-2530)";"1999";SNK;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO;YES;NO;YES;neogeo/neogeo.cpp;"Mame 0.37b11 (0.47)";"2001-01-17";"Mame 0.254";"2023-04-27";2;4;2;2;1;RASTER;"0";HORIZONTAL;320;224;59.185606;"joystick (8-way)";"CRT 15kHz";"Motorola MC68000,Zilog Z80";"maincpu Motorola MC68000 @12 MHz, audiocpu Zilog Z80 @4 MHz";"YM2610 OPNB,Speaker";"ymsnd YM2610 OPNB @8 MHz, lspeaker Speaker, rspeaker Speaker";GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;GOOD;"memcard,cartridge";"Fighter / Versus";Fighter;"Fatal Fury";English;-;YES;YES;NO;YES;YES;NO;YES;YES;YES;NO;NO;NO;YES;"2P sim";-;"https://www.youtube.com/watch?v=GdG4KtFALbs";-;90;NO;NO;NO;YES;English;"80 to 90 (Very Good)";-;"29049;29050";YES;"Garou - Mark of the Wolves";
